新闻标题,发布日期,发稿单位,网页链接
第十届东北财经大学党委第六轮巡察完成反馈,2026-01-07,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96300.html
东北财经大学召开党外知识分子学习贯彻中共二十届四中全会精神宣讲报告会,2026-01-07,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96299.html
东北财经大学工作案例入选《推进和拓展中国式现代化辽宁实践案例汇编》,2026-01-06,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96297.html
东北财经大学2025年十件大事,2025-12-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96234.html
东北财经大学妇女第一次代表大会召开,2025-12-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96233.html
东北财经大学召开2025年学院级单位党组织书记抓基层党建工作述职评议会议,2025-12-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96232.html
守正笃行 启新致远——东北财经大学2026年新年贺词,2025-12-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96230.html
东北财经大学低空经济产业学院入选2025年辽宁省现代产业学院,2025-12-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96222.html
大连市人大财经委向东北财经大学发来感谢信,2025-12-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96221.html
中国共产党东北财经大学第十届委员会第六次全体会议召开,2025-12-31,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96201.html
“中华文明赋能创意资源开发与文化产业发展”学术研讨会成功举办,2025-12-26,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96138.html
2025辽宁海外领事保护与协助宣传活动在东北财经大学启动,2025-12-25,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96115.html
东北财经大学党委常委、副校长王伟同教授在《学习时报》发表理论文章《为什么要继续实施更加积极的财政政策》,2025-12-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96094.html
“智税联·创新创业服务平台”正式启动 政税企校金携手赋能高校成果转化与双创生态,2025-12-24,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96090.html
培训学院、继续教育学院、跨境教育中心、智慧校园建设中心、网络教育学院联合举办学习贯彻党的二十届四中全会精神宣讲报告会,2025-12-23,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96076.html
“和声筑梦 音暖山海”东北财经大学阿卡贝拉合唱团2026年新年音乐会圆满落幕,2025-12-22,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96028.html
东北财经大学成功举办首届东北地区新文旅创意策划与管理咨询挑战赛,2025-12-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96010.html
科研处、财务处、法学院、金融科技学院等单位联合举办学习贯彻党的二十届四中全会精神宣讲报告会,2025-12-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96007.html
深学细悟全会精神 凝心聚力绘就新篇——研究生院、国际商学院联合举办学习贯彻党的二十届四中全会精神专题宣讲报告会,2025-12-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96006.html
学校纪检监察机构、党委巡察工作领导小组办公室、工商管理学院、投资工程管理学院联合举办学习贯彻党的二十届四中全会精神宣讲报告会,2025-12-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_96005.html
民盟辽宁省委会机关干部培训班开班仪式在东北财经大学成功举办,2025-12-19,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95992.html
萨里国际学院、国际教育学院成功举办学习贯彻党的二十届四中全会精神专题宣讲报告会,2025-12-18,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95983.html
东北财经大学管理科学与工程学院联合发起成立大连地区管理科学与工程学科创新学术联盟,2025-12-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95906.html
东北财经大学管理科学与工程学科“十五五”发展规划论证会顺利举行,2025-12-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95900.html
2025年“感知中国·遇见大连”来华留学生海外社交媒体影响力大赛颁奖活动在东北财经大学举行,2025-12-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95899.html
金融学院举办学习宣传贯彻党的二十届四中全会精神宣讲报告会,2025-12-17,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95895.html
东北财经大学入选辽宁省美育类示范性特色学校,2025-12-16,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95872.html
东北财经大学工会荣获两项2025年省总工会直属高校工会工作创新创优成果,2025-12-15,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95846.html
统计学院举办学习贯彻党的二十届四中全会精神宣讲报告会,2025-12-15,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95845.html
东北财经大学举办就业指导能力提升培训班,2025-12-13,东北财经大学金融科技学院,https://www.dufe.edu.cn/news/news/content_95833.html
